,YEAR,RICE_TONNE_HA,RICE_THND_TONNE,RICE_THND_HA,WHEAT_TONNE_HA,WHEAT_THND_TONNE,WHEAT_THND_HA,MAIZE_TONNE_HA,MAIZE_THND_TONNE,MAIZE_THND_HA,SOYBEAN_TONNE_HA,SOYBEAN_THND_TONNE,SOYBEAN_THND_HA
0,1990,4.31367949507173,4928.08290945114,1142.431401,2.6568787870023702,74296.9584,27964.0,7.433032840647059,201539.468,27114.029,2.29239962158325,52415.2944,22864.8155
1,1991,4.468591304178379,5029.107030593,1125.434547,2.30389472873197,53890.4016,23391.0,6.81979651972051,189879.95,27842.4656,2.30338014316256,54064.584,23471.846
2,1992,4.47342775605333,5669.978799086651,1267.479684,2.64167924356507,67136.4288,25414.3,8.25057609373316,240734.754,29177.9327,2.52918148150432,59603.04,23566.138071
3,1993,4.30120660595294,4931.23991323683,1146.4782710000002,2.57037437681015,65220.4224,25373.9,6.32285440185185,160947.072,25454.8123,2.19451713085523,50893.92,23191.397909
4,1994,4.65101774587615,6241.39648429527,1341.942092,2.52575783066719,63168.336,25009.6566,8.69869008043416,256625.99118,29501.6823,2.78147506260418,68448.24,24608.611783
5,1995,4.38354734163726,5486.872579517029,1251.696891,2.41024894248925,59401.6416,24645.4383,7.12095817258534,187314.348,26304.655,2.3756303394766096,59167.584,24906.056728
6,1996,4.774139702552629,5417.41849623201,1134.742348,2.4388478953183,61981.7184,25414.3436,7.98236079888186,234523.965,29380.2762,2.52663341898431,64774.08,25636.516763
7,1997,4.600713224120731,5777.31692779987,1255.743761,2.65741681401263,67536.504,25414.3436,7.949191442777,233871.1336,29420.7449,2.61651150823335,73178.3808,27967.91857
8,1998,4.41671124824358,5821.51498079943,1318.065559,2.90346153688685,69324.5952,23876.533,8.43722351388774,247887.9572,29380.2762,2.6169086672268502,74599.056,28506.556967
9,1999,4.57581610236143,6503.42779850696,1421.260744,2.8688342488027203,62460.72,21772.1606,8.396600121731781,239558.6414,28530.4335,2.46437095197968,72250.3152,29317.954402
10,2000,4.89782788422249,6023.56322308314,1229.843793,2.82204991820573,60642.6912,21488.8797,8.59146678089727,251863.3702,29315.52628,2.56160848252753,75061.728,29302.576296
11,2001,5.06812566634338,6797.02915057547,1341.132718,2.70034012539155,53000.4384,19627.3195,8.66902894018895,241395.206,27845.703096,2.66427488421494,78681.45599999999,29532.033825
12,2002,5.132622748693549,6661.27798779111,1297.831209,2.377313264129,44062.704000000005,18534.6646,8.15912902752417,228821.216,28044.8091,2.55872610755399,75007.296,29314.312219
13,2003,5.20437753982255,6312.11336909457,1212.846939,2.96997893285721,63821.52,21488.8797,8.06671800305691,256915.828,31848.8669,2.27636340149036,66788.064,29339.8075
14,2004,5.45419872768828,7336.87679792726,1345.1795880000002,2.90259524025777,58732.128,20234.35,10.0695579841775,299921.414,29784.9632,2.839123916846109,85022.784,29946.838
15,2005,5.18448109052392,7049.58945343011,1359.74832,2.8256568331098,57289.68,20274.8187,9.28754548929349,282267.024,30391.9937,2.86101110239772,83362.608,29137.464
16,2006,5.34540167002005,6143.529366939089,1149.3110800000002,2.6038585185640497,49315.392,18939.3516,9.36652500945747,267610.07,28570.9022,2.8820987134098,87009.552,30189.6502
17,2007,5.62813910749182,6263.49551079505,1112.88925,2.72568298606798,56255.472,20639.037,9.48726499550909,332105.748,35005.4255,2.8086355230758,72857.232,25940.4367
18,2008,5.33249692939674,6430.81671143625,1205.96726,3.0172834018332004,68012.784,22541.0659,9.66378753391718,307389.602,31808.3982,2.67117282161047,80749.872,30230.1189
19,2009,5.53374808437259,6942.25132471689,1254.5297,2.98927616256223,60365.088,20193.8813,10.3368336236801,332562.984,32172.6165,2.95679821947147,91418.544,30918.0868
20,2010,5.238805049396849,7674.676202995341,1464.96694,3.11817455434892,60065.712,19263.1012,9.59818116232384,316178.694,32941.5218,2.92273922608531,90602.064,30999.0242
21,2011,5.50543283802701,5837.29999972785,1060.27994,2.94172205668622,54404.78400000001,18494.1959,9.236083336336131,313968.72,33993.708,2.81947981838921,84206.304,29865.9006
22,2012,5.80716218148255,6298.22255243756,1084.56116,3.1035132717470004,61290.432,19748.7256,7.72409559858863,273198.51,35369.6438,2.68831153611081,82791.072,30796.6807
23,2013,6.000846210237611,5998.30719279768,999.57689,3.16960191143952,58106.16,18332.3211,9.92045021034621,351284.258,35410.1125,2.95979203135827,91391.328,30877.6181
24,2014,5.916056096643209,7014.8624117876,1185.73291,2.93647632144625,55139.616,18777.4768,10.738040785642,361114.83200000005,33629.4897,3.19731847164626,106877.232,33427.1462
25,2015,5.81618696588003,6096.1743101538505,1048.13933,2.93178800030656,56119.392,19141.6951,10.5798106228968,345518.004,32658.2409,3.2317166925702594,106850.016,33062.9279
26,2016,5.6394404079486,7074.84548371558,1254.5297,3.5387713487509704,62868.96,17765.7593,10.966924588211,384789.496,35086.3629,3.5024698458464,117219.312,33467.6149
27,2017,5.8431324201590895,6273.813654354611,1073.70725197419,3.16760296481034,52681.991743783896,16631.5009578928,10.7013065517737,366701.7325732,34267.0056967344,3.19495839721015,110185.25195836,34487.2258913463
28,2018,5.870730693013929,6795.37533682322,1157.5007765766802,3.19488281200529,53873.482910572406,16862.4284771306,10.8154391552097,366181.585939155,33857.3016484206,3.22845895031348,110686.476648608,34284.6163918354
29,2019,5.89891479604994,6826.820615440191,1157.30110552228,3.221143709458,54842.6550855215,17025.833067978,10.943112681682198,370815.571124235,33885.749138255,3.26275406105138,111057.258768073,34037.888449355
30,2020,5.92974066871514,6877.54456285634,1159.83901261463,3.24857608335676,55296.0242468153,17021.6189578521,11.065209196273198,373613.4562530421,33764.6988524872,3.2965090135934902,112411.431145504,34100.143722233
31,2021,5.95885080656407,6922.55523925063,1161.72655825333,3.27465303739031,55779.5269750931,17033.7212333244,11.197257746728,378298.473842155,33784.9214868327,3.32615371424742,113684.866916364,34179.077902824305
32,2022,5.98899315017092,6971.27571769039,1164.01464190897,3.3017841902517,56184.7698628892,17016.487639755702,11.3193752577669,381292.485323285,33684.9407886292,3.36505503047618,115145.690541436,34218.070580797
